artist_id,artist_name,spotify_url
06HL4z0CvFAxyc27GXpf02,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
3TVXtAsR1Inumwj472S9r4,Drake,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,https://open.spotify.com/artist/2HPaUgqeutzr3jx5a9WyDV
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
3eLZo1bSslvsu0zNhtmMM4,Wicked Movie Cast,https://open.spotify.com/artist/3eLZo1bSslvsu0zNhtmMM4
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
25uiPmTg16RbhZWAqwLBy5,Charli xcx,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q
